level,sat,ordered,age,speed,single,dist,income,range
0,5,3,27,3,0,82,99443.71008,2
1,6,1,25,1,0,99,66558.90027,1
1,6,3,25,1,0,103,111048.2225,2
0,4,4,26,1,0,101,97093.25566,2
1,6,3,26,1,1,87,111945.8269,2
1,6,3,25,1,0,104,105729.314,2
1,6,3,25,1,0,87,83203.66764,2
1,6,6,26,2,0,145,100753.3006,2
1,6,4,25,3,0,66,101001.8567,2
1,7,5,26,2,0,83,123456.4889,3
0,4,3,26,1,0,93,106875.6776,2
1,7,4,26,3,0,98,96452.87769,2
1,7,3,25,1,0,87,112359.5996,2
0,5,2,26,2,0,80,71610.99156,1
1,6,5,26,1,0,67,85070.87539,2
0,3,2,27,3,1,85,106925.6845,2
0,5,3,26,2,0,129,121898.2447,3
1,7,5,25,1,0,71,106791.9167,2
1,7,5,26,1,0,105,99157.38508,2
1,7,2,25,1,0,122,101372.9198,2
0,5,2,25,1,0,68,95868.15968,2
1,6,3,25,2,0,101,97280.41337,2
1,6,3,25,2,0,137,111842.9491,2
1,8,1,25,1,0,144,91769.39069,2
1,6,4,25,3,0,74,109559.2022,2
1,6,3,26,1,0,108,104124.9575,2
1,6,3,25,2,0,58,108456.9567,2
1,6,4,25,2,0,113,103672.1928,2
0,5,2,26,2,0,93,117050.6953,2
1,6,2,25,1,1,110,119820.2119,2
1,6,5,26,1,0,107,89151.42711,2
1,6,5,26,1,0,75,117993.3838,2
1,6,4,26,1,1,117,92774.02803,2
0,5,2,26,1,0,130,105083.0667,2
1,7,6,26,1,0,89,104567.3107,2
0,5,2,26,2,0,88,112015.3734,2
1,7,4,25,1,0,49,143643.7881,3
1,7,5,26,1,0,79,91807.78389,2
1,6,3,25,2,0,90,128358.6012,3
1,6,5,25,1,0,107,103396.1296,2
1,7,2,26,2,0,146,89957.56881,2
1,6,3,25,1,0,124,100948.481,2
1,6,3,26,1,0,80,102742.0955,2
0,5,2,27,3,0,133,90717.34614,2
0,5,2,25,3,0,89,103176.7796,2
1,6,2,26,3,0,80,83960.53938,2
1,6,4,26,3,0,109,96862.30052,2
1,7,2,26,1,0,104,106995.5358,2
1,7,4,25,2,0,82,94864.99627,2
1,7,4,26,3,0,59,120659.2883,3
1,6,2,26,1,0,120,108742.2043,2
1,6,3,25,1,0,127,130626.9882,3
1,7,2,25,3,0,138,109173.6061,2
1,6,5,26,3,0,91,128771.1709,3
0,5,2,26,1,0,74,94005.02085,2
0,5,1,26,1,0,108,89855.78518,2
0,5,2,26,3,0,88,101953.8875,2
1,6,3,25,3,0,81,88550.69188,2
1,7,6,26,3,0,91,109562.9313,2
0,5,1,26,1,0,74,87188.61572,2
1,6,2,25,1,0,139,105949.7541,2
0,5,2,25,3,0,94,64055.57208,1
1,6,2,26,2,0,168,106388.1648,2
0,5,2,26,2,0,103,109295.9854,2
1,7,4,26,1,0,92,87461.30805,2
0,5,2,26,3,0,67,104465.0352,2
0,5,2,26,2,0,134,129478.1255,3
0,5,4,26,1,0,100,94594.26595,2
1,6,3,25,1,0,116,102121.5322,2
1,6,4,26,2,0,152,108782.0135,2
1,6,6,26,1,0,67,111756.2343,2
0,5,2,26,1,0,121,100354.5447,2
1,6,2,25,1,0,134,87468.96768,2
1,6,5,25,1,0,130,90194.885,2
0,5,2,26,1,0,85,101611.9496,2
0,5,2,26,2,0,103,102428.8593,2
1,6,3,26,2,0,83,113292.2014,2
1,6,2,26,2,0,139,139596.575,3
0,5,4,25,3,0,125,118422.5378,2
0,3,1,27,2,1,137,89925.56062,2
1,6,2,25,1,0,139,114000.5585,2
1,8,3,25,2,0,128,99777.58651,2
1,6,4,25,1,0,121,84794.95961,2
0,5,2,26,1,0,100,70369.84726,1
1,7,5,26,3,0,73,97658.8519,2
0,5,3,26,2,0,105,106628.9276,2
0,5,2,26,3,0,86,79676.2999,1
0,4,2,26,2,0,73,94672.52466,2
0,5,2,26,1,0,119,88118.35309,2
1,6,5,26,2,0,52,117012.7715,2
